'marine surface BK', 19e-3, .01, 1.6, 5e-4, 340, .3, 71e-3, 2, .1, 60, 12, .62, 2.7, 12, 3.1
'clean continental BK', .03, .016, 1.6, 6e-3, 1000, .35,.067, 2.1, 1.5, 800, 6, .93, 2.2, 5, .72
'average BK', .034, .015, 1.7, .037, 6400, .32, .076, 2.0, 4.45, 2300, 6.04, 1.02, 2.16, 25.9, 3.2
'BK and aged urban plume', .028, .014, 1.6, .029, 6600, .36, .12, 1.84, 44, 9600, 4.51, .83, 2.12, 27.4, 7.2
'BK and local sources', .021, .009, 1.7, .62, 402000, .25, .047, 2.11, 3.02, 4500, 5.6, 1.1, 2.09, 39.1, 4.9
'urban average', .038, .014, 1.8, .63, 106000, .32, .054, 2.16, 38.4, 32000, 5.7, .86, 2.21, 30.8, 5.4
'urban and freeway', .032, .013, 1.74, 9.2, 2120000, .25, .062, 1.98, 37.5, 37000, 6, 1.08, 2.13, 42.7, 4.9
'labadie plume', .015, .0092, 1.5, .1, 118000, .18, .046, 1.96, 12, 30000, 5.5, .44, 2.5, 24, 12
